deg_urb,geo,TIME_PERIOD,OBS_VALUE
DEG3,FR,2020,3.4
DEG3,HR,2010,14.9
DEG3,HR,2011,8.5
DEG3,HR,2012,8.1
DEG3,HR,2013,7.7
DEG3,HR,2014,7.8
DEG3,HR,2015,8.6
DEG3,HR,2016,7.4
DEG3,HR,2017,6.1
DEG3,HR,2018,6.0
DEG3,HR,2019,6.1
DEG3,HR,2020,5.1
DEG3,HR,2021,5.5
DEG3,HU,2010,11.0
DEG3,HU,2011,12.8
DEG3,HU,2012,13.6
DEG3,HU,2013,15.5
DEG3,HU,2014,11.4
DEG3,HU,2015,7.6
DEG3,HU,2016,8.9
DEG3,HU,2017,9.5
DEG3,HU,2018,9.6
DEG3,HU,2019,2.4
DEG3,HU,2020,2.2
DEG3,HU,2021,2.2
DEG3,IE,2010,4.0
DEG3,IE,2011,4.0
DEG3,IE,2012,5.2
DEG3,IE,2013,3.9
DEG3,IE,2014,4.5
DEG3,IE,2015,3.3
DEG3,IE,2016,3.1
DEG3,IE,2017,2.7
DEG3,IE,2018,2.2
DEG3,IE,2019,1.8
DEG3,IE,2020,2.3
DEG3,IE,2021,1.6
DEG3,IS,2010,7.4
DEG3,IS,2011,9.1
DEG3,IS,2012,6.0
DEG3,IS,2013,7.9
DEG3,IS,2014,5.5
DEG3,IS,2015,4.8
DEG3,IS,2016,4.6
DEG3,IS,2017,5.1
DEG3,IS,2018,5.3
DEG3,IT,2010,5.8
DEG3,IT,2011,6.7
DEG3,IT,2012,5.8
DEG3,IT,2013,6.4
DEG3,IT,2014,7.8
DEG3,IT,2015,6.0
DEG3,IT,2016,7.0
DEG3,IT,2017,5.6
DEG3,IT,2018,5.0
DEG3,IT,2019,6.9
DEG3,IT,2020,6.8
DEG3,IT,2021,6.4
DEG3,LT,2010,8.7
DEG3,LT,2011,9.1
DEG3,LT,2012,6.8
DEG3,LT,2013,6.7
DEG3,LT,2014,5.5
DEG3,LT,2015,8.3
DEG3,LT,2016,7.8
DEG3,LT,2017,8.3
DEG3,LT,2018,6.7
DEG3,LT,2019,5.3
DEG3,LT,2020,3.3
DEG3,LT,2021,3.9
DEG3,LU,2010,3.9
DEG3,LU,2011,3.2
DEG3,LU,2012,4.5
DEG3,LU,2013,4.3
DEG3,LU,2014,5.7
DEG3,LU,2015,4.2
DEG3,LU,2016,5.5
DEG3,LU,2017,6.4
DEG3,LU,2018,7.6
DEG3,LU,2019,8.6
DEG3,LU,2020,5.6
DEG3,LU,2021,4.3
DEG3,LV,2010,7.9
DEG3,LV,2011,9.9
DEG3,LV,2012,8.4
DEG3,LV,2013,9.8
DEG3,LV,2014,8.3
DEG3,LV,2015,7.5
DEG3,LV,2016,5.6
DEG3,LV,2017,6.5
DEG3,LV,2018,6.2
DEG3,LV,2019,6.1
DEG3,LV,2020,4.6
DEG3,LV,2021,5.2
DEG3,LV,2022,5.2
DEG3,MK,2016,10.9
DEG3,MK,2017,11.9
DEG3,MK,2018,11.0
DEG3,MK,2019,11.2
DEG3,MK,2020,9.3
DEG3,MT,2010,
DEG3,MT,2011,
DEG3,MT,2012,
DEG3,MT,2013,
DEG3,MT,2014,0.0
DEG3,MT,2015,0.0
DEG3,MT,2016,0.0
DEG3,MT,2017,
DEG3,MT,2018,
DEG3,MT,2019,
DEG3,MT,2020,
DEG3,MT,2021,2.3
DEG3,NL,2010,6.6
DEG3,NL,2011,6.9
DEG3,NL,2012,11.4
DEG3,NL,2013,10.8
DEG3,NL,2014,13.0
DEG3,NL,2015,9.7
DEG3,NL,2016,5.9
DEG3,NL,2017,5.1
DEG3,NL,2018,4.6
DEG3,NL,2019,5.6
DEG3,NL,2020,5.0
DEG3,NL,2021,8.3
DEG3,NL,2022,14.5
DEG3,NO,2010,7.9
DEG3,NO,2011,10.7
DEG3,NO,2012,8.6
DEG3,NO,2013,7.5
DEG3,NO,2015,6.8
DEG3,NO,2016,7.4
DEG3,NO,2017,6.4
DEG3,NO,2018,8.6
DEG3,NO,2019,7.5
DEG3,NO,2020,5.8
DEG3,PL,2010,7.7
DEG3,PL,2011,9.1
DEG3,PL,2012,9.2
DEG3,PL,2013,9.4
DEG3,PL,2014,8.5
DEG3,PL,2015,7.9
DEG3,PL,2016,6.2
DEG3,PL,2017,5.0
DEG3,PL,2018,4.8
DEG3,PL,2019,4.7
DEG3,PL,2020,4.4
DEG3,PL,2021,5.3
DEG3,PT,2010,3.3
DEG3,PT,2011,5.6
DEG3,PT,2012,6.1
DEG3,PT,2013,5.7
DEG3,PT,2014,7.1
DEG3,PT,2015,7.3
DEG3,PT,2016,5.9
DEG3,PT,2017,5.0
DEG3,PT,2018,5.1
DEG3,PT,2019,4.6
DEG3,PT,2020,3.2
DEG3,PT,2021,4.5
DEG3,RO,2010,17.1
DEG3,RO,2011,11.3
DEG3,RO,2012,19.0
DEG3,RO,2013,17.8
DEG3,RO,2014,18.6
DEG3,RO,2015,18.6
DEG3,RO,2016,16.4
DEG3,RO,2017,15.0
DEG3,RO,2018,13.2
DEG3,RO,2019,11.3
DEG3,RO,2020,8.1
DEG3,RO,2021,10.8
DEG3,RS,2013,29.3
DEG3,RS,2014,35.4
DEG3,RS,2015,37.6
DEG3,RS,2016,31.9
DEG3,RS,2017,35.8
DEG3,RS,2018,35.1
DEG3,RS,2019,23.5
DEG3,RS,2020,19.0
DEG3,RS,2021,16.1
DEG3,SE,2010,6.8
DEG3,SE,2011,8.8
DEG3,SE,2012,8.1
DEG3,SE,2013,8.4
DEG3,SE,2014,8.1
DEG3,SE,2015,7.0
DEG3,SE,2016,6.1
DEG3,SE,2017,7.4
DEG3,SE,2018,6.2
DEG3,SE,2019,6.8
DEG3,SE,2020,7.6
DEG3,SE,2021,7.5
DEG3,SI,2010,3.9
DEG3,SI,2011,3.8
DEG3,SI,2012,3.9
DEG3,SI,2013,4.6
DEG3,SI,2014,5.1
DEG3,SI,2015,4.9
DEG3,SI,2016,4.3
DEG3,SI,2017,4.2
DEG3,SI,2018,3.7
DEG3,SI,2019,3.1
DEG3,SI,2020,3.6
DEG3,SI,2021,3.4
DEG3,SK,2010,8.4
DEG3,SK,2011,8.7
DEG3,SK,2012,9.1
DEG3,SK,2013,9.1
DEG3,SK,2014,8.8
DEG3,SK,2015,7.8
DEG3,SK,2016,8.0
DEG3,SK,2017,8.2
DEG3,SK,2018,2.7
DEG3,SK,2019,4.0
DEG3,SK,2020,2.5
DEG3,SK,2021,5.9
DEG3,UK,2010,16.0
DEG3,UK,2011,15.1
DEG3,UK,2012,5.5
DEG3,UK,2013,5.3
DEG3,UK,2014,9.3
DEG3,UK,2015,9.5
DEG3,UK,2016,10.5
DEG3,UK,2017,10.7
DEG3,UK,2018,14.9
